,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
9564,R12067_v1,forward,KEGG (Modified),Fe,C19859 + C00030 + C00007 + Z00015 => C21860 + C00028 + C00001 + Z00015,C19859 + C00030 + C00007 + Z00015,C21860 + C00028 + C00001 + Z00015,68.0,69.0,68.5,
5655,R06802,forward,KEGG,,C12137 + C02199 => C12644 + C00015,C12137 + C02199,C12644 + C00015,68.0,69.0,68.5,
5200,R05703_v1,reverse,KEGG (Modified),FAD,C05439 + C00005 + C00080 + Z00013 => C01189 + C00006 + Z00013,C05439 + C00005 + C00080 + Z00013,C01189 + C00006 + Z00013,68.0,69.0,68.5,
6984,R08818,forward,KEGG,,C17752 + C08538 => C08537 + C00001,C17752 + C08538,C08537 + C00001,68.0,69.0,68.5,
6963,R08792,forward,KEGG,,C00045 => C17266,C00045,C17266,68.0,69.0,68.5,
9554,R12054,forward,KEGG,,C21874 => C21875,C21874,C21875,68.0,69.0,68.5,
6884,R08683,forward,KEGG,,C17265 + C00045 => C17266 + C00161,C17265 + C00045,C17266 + C00161,68.0,69.0,68.5,
8946,R11265,forward,KEGG,,C01759 + C00003 => C21176 + C00004 + C00080,C01759 + C00003,C21176 + C00004 + C00080,68.0,69.0,68.5,
8959,R11278,forward,KEGG,,C12211 + C21259 => C00015 + C00397,C12211 + C21259,C00015 + C00397,68.0,69.0,68.5,
4487,R04667,reverse,KEGG,,C05439 + C00028 => C05107 + C00030,C05439 + C00028,C05107 + C00030,68.0,69.0,68.5,
5756,R06952_v1,forward,KEGG (Modified),Fe,C13431 + C00007 + Z00015 => C13453 + C14044 + Z00015,C13431 + C00007 + Z00015,C13453 + C14044 + Z00015,68.0,69.0,68.5,
6990,R08824,forward,KEGG,,C08540 + C00167 => C08537 + C00015,C08540 + C00167,C08537 + C00015,68.0,69.0,68.5,
5662,R06809,forward,KEGG,,C01156 + C00053 => C03898 + C00054,C01156 + C00053,C03898 + C00054,68.0,69.0,68.5,
