reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,reaction_id,ec_list
R03540,forward,KEGG,,C01384 + C00014 => C01596 + C00001,C01384 + C00014,C01596 + C00001,1.0,2.0,1.5,R03540,3.5.1.107
R06973,reverse,KEGG,,C00084 + C00011 => C00222,C00084 + C00011,C00222,1.0,2.0,1.5,R06973,4.2.1.155
R04399,forward,KEGG,,C04115 => C04324 + C00001,C04115,C04324 + C00001,1.0,2.0,1.5,R04399,
R02419,reverse,KEGG,,C01384 + C00001 => C00497,C01384 + C00001,C00497,1.0,2.0,1.5,R02419,4.2.1.31
R00489_v2,forward,KEGG (Modified),Pyruvoyl,C00049 + Z00039 => C00099 + C00011 + Z00039,C00049 + Z00039,C00099 + C00011 + Z00039,1.0,2.0,1.5,R00489,"4.1.1.11, 4.1.1.15"
R09717_v4,forward,KEGG (Modified),M2,C19813 + Z00069 => C00037 + C00048 + Z00069,C19813 + Z00069,C00037 + C00048 + Z00069,1.0,2.0,1.5,R09717,4.1.3.41
R09717_v3,forward,KEGG (Modified),Mg,C19813 + Z00029 => C00037 + C00048 + Z00029,C19813 + Z00029,C00037 + C00048 + Z00029,1.0,2.0,1.5,R09717,4.1.3.41
R03995,reverse,KEGG,,C06033 + C00001 => C02612 + C00011,C06033 + C00001,C02612 + C00011,1.0,2.0,1.5,R03995,
LAO_FM,forward,Manual,,C00049 + C00122 => C05840 + C00042,C00049 + C00122,C05840 + C00042,1.0,2.0,1.5,LAO,
R00485,reverse,KEGG,,C00049 + C00014 => C00152 + C00001,C00049 + C00014,C00152 + C00001,1.0,2.0,1.5,R00485,"3.5.1.1, 3.5.1.38, 3.5.5.4"
R00753,reverse,KEGG,,C00058 + C00084 => C00186,C00058 + C00084,C00186,1.0,2.0,1.5,R00753,4.1.2.36
R00661_v1,forward,KEGG (Modified),Mg,C00074 + Z00029 => C02798 + Z00029,C00074 + Z00029,C02798 + Z00029,1.0,2.0,1.5,R00661,5.4.2.9
R00486,reverse,KEGG,,C00049 + C00014 => 2C00001 + C02512,C00049 + C00014,2C00001 + C02512,1.0,2.0,1.5,R00486,3.5.5.4
